Biblioteca	Settimana	Posti
Mediazione	36	31.0
Mediazione	37	31.0
Mediazione	38	31.0
Mediazione	39	31.0
Mediazione	40	54.0
Mediazione	41	54.0
Mediazione	42	54.0
Mediazione	43	54.0
Mediazione	44	0.0
Mediazione	45	0.0
Mediazione	46	0.0
Mediazione	47	0.0
Mediazione	48	0.0
Mediazione	49	0.0
Mediazione	50	0.0
Mediazione	51	0.0
Mediazione	52	0.0
Mediazione	53	0.0
Medicina	1	20.0
Medicina	2	20.0
Medicina	3	20.0
Medicina	4	20.0
Medicina	5	20.0
Medicina	6	20.0
Medicina	7	20.0
Medicina	8	20.0
Medicina	9	20.0
Medicina	10	20.0
Medicina	11	20.0
Medicina	12	20.0
Medicina	13	20.0
Medicina	14	20.0
Medicina	15	20.0
Medicina	16	20.0
Medicina	17	20.0
Medicina	18	20.0
Medicina	19	20.0
Medicina	20	20.0
Medicina	21	20.0
Medicina	22	20.0
Medicina	23	20.0
Medicina	24	20.0
Medicina	25	32.0
Medicina	26	32.0
Medicina	27	32.0
Medicina	28	32.0
Medicina	29	32.0
Medicina	30	32.0
Medicina	31	32.0
Medicina	32	0.0
Medicina	33	0.0
Medicina	34	0.0
Medicina	35	32.0
Medicina	36	32.0
Medicina	37	32.0
Medicina	38	32.0
Medicina	39	32.0
Medicina	40	32.0
Medicina	41	60.0
Medicina	42	60.0
Medicina	43	60.0
Medicina	44	60.0
Medicina	45	60.0
Medicina	46	60.0
Medicina	47	60.0
Medicina	48	60.0
Medicina	49	60.0
Medicina	50	60.0
Medicina	51	0.0
Medicina	52	0.0
Medicina	53	0.0
SAFM	1	58.0
SAFM	2	58.0
SAFM	3	58.0
SAFM	4	58.0
SAFM	5	58.0
SAFM	6	58.0
SAFM	7	58.0
SAFM	8	58.0
SAFM	9	58.0
SAFM	10	58.0
SAFM	11	58.0
SAFM	12	58.0
SAFM	13	58.0
SAFM	14	58.0
SAFM	15	56.0
SAFM	16	56.0
SAFM	17	56.0
SAFM	18	58.0
SAFM	19	58.0
SAFM	20	58.0
SAFM	21	58.0
SAFM	22	58.0
SAFM	23	58.0
SAFM	24	58.0
SAFM	25	94.0
SAFM	26	94.0
SAFM	27	94.0
SAFM	28	94.0
SAFM	29	94.0
SAFM	30	94.0
SAFM	31	0.0
SAFM	32	0.0
SAFM	33	0.0
SAFM	34	0.0
SAFM	35	0.0
SAFM	36	94.0
SAFM	37	94.0
SAFM	38	94.0
SAFM	39	94.0
SAFM	40	94.0
SAFM	41	178.0
SAFM	42	186.0
SAFM	43	186.0
SAFM	44	0.0
SAFM	45	0.0
SAFM	46	0.0
SAFM	47	0.0
SAFM	48	0.0
SAFM	49	0.0
SAFM	50	0.0
SAFM	51	0.0
SAFM	52	0.0
SAFM	53	0.0
San Paolo	1	0.0
San Paolo	2	0.0
San Paolo	3	0.0
San Paolo	4	0.0
San Paolo	5	0.0
San Paolo	6	0.0
San Paolo	7	0.0
San Paolo	8	0.0
San Paolo	9	0.0
San Paolo	10	0.0
San Paolo	11	0.0
San Paolo	12	0.0
San Paolo	13	0.0
San Paolo	14	0.0
San Paolo	15	0.0
San Paolo	16	0.0
San Paolo	17	0.0
San Paolo	18	0.0
San Paolo	19	0.0
San Paolo	20	0.0
San Paolo	21	0.0
San Paolo	22	0.0
San Paolo	23	0.0
San Paolo	24	0.0
San Paolo	25	0.0
San Paolo	26	0.0
San Paolo	27	0.0
San Paolo	28	0.0
San Paolo	29	0.0
San Paolo	30	0.0
San Paolo	31	0.0
San Paolo	32	0.0
San Paolo	33	0.0
San Paolo	34	0.0
San Paolo	35	0.0
San Paolo	36	0.0
San Paolo	37	0.0
San Paolo	38	0.0
San Paolo	39	0.0
San Paolo	40	0.0
San Paolo	41	0.0
San Paolo	42	0.0
San Paolo	43	0.0
San Paolo	44	0.0
San Paolo	45	0.0
San Paolo	46	0.0
San Paolo	47	0.0
San Paolo	48	0.0
San Paolo	49	0.0
San Paolo	50	0.0
